[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514988851777736, -0.4006031795277679, 1.1030151313768433] [-0.0002397017640715061, -0.0010424959576734983, -5.8204612651893695e-05, -0.9999994261785683] 3263342000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514941335434744, -0.40060186579394536, 1.1030116424791396] [-0.00023915167966342518, -0.0010415277521861437, -5.80732883913998e-05, -0.9999994273267903] 3263352000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514941335434744, -0.40060186579394536, 1.1030116424791396] [-0.00023915167966342518, -0.0010415277521861437, -5.80732883913998e-05, -0.9999994273267903] 3263362000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514941335434744, -0.40060186579394536, 1.1030116424791396] [-0.00023915167966342518, -0.0010415277521861437, -5.80732883913998e-05, -0.9999994273267903] 3263372000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514941335434744, -0.40060186579394536, 1.1030116424791396] [-0.00023915167966342518, -0.0010415277521861437, -5.80732883913998e-05, -0.9999994273267903] 3263382000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45149017874271097, -0.40060076603642286, 1.1030087425640613] [-0.00023869542276002353, -0.0010407231765488302, -5.7963474559330486e-05, -0.9999994282798369] 3263392000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45149017874271097, -0.40060076603642286, 1.1030087425640613] [-0.00023869542276002353, -0.0010407231765488302, -5.7963474559330486e-05, -0.9999994282798369] 3263402000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45149017874271097, -0.40060076603642286, 1.1030087425640613] [-0.00023869542276002353, -0.0010407231765488302, -5.7963474559330486e-05, -0.9999994282798369] 3263412000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45149017874271097, -0.40060076603642286, 1.1030087425640613] [-0.00023869542276002353, -0.0010407231765488302, -5.7963474559330486e-05, -0.9999994282798369] 3263422000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45149017874271097, -0.40060076603642286, 1.1030087425640613] [-0.00023869542276002353, -0.0010407231765488302, -5.7963474559330486e-05, -0.9999994282798369] 3263432000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45148622843766567, -0.40059966185653534, 1.1030058494048156] [-0.00023824110230521523, -0.0010399206443344597, -5.785332716835845e-05, -0.999999429229449] 3263442000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45148622843766567, -0.40059966185653534, 1.1030058494048156] [-0.00023824110230521523, -0.0010399206443344597, -5.785332716835845e-05, -0.999999429229449] 3263452000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45148622843766567, -0.40059966185653534, 1.1030058494048156] [-0.00023824110230521523, -0.0010399206443344597, -5.785332716835845e-05, -0.999999429229449] 3263462000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45148622843766567, -0.40059966185653534, 1.1030058494048156] [-0.00023824110230521523, -0.0010399206443344597, -5.785332716835845e-05, -0.999999429229449] 3263472000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514822826716639, -0.40059855334868966, 1.1030029629456997] [-0.00023778870580275747, -0.00103912013701415, -5.7742860062041934e-05, -0.9999994301756551] 3263482000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514822826716639, -0.40059855334868966, 1.1030029629456997] [-0.00023778870580275747, -0.00103912013701415, -5.7742860062041934e-05, -0.9999994301756551] 3263492000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514822826716639, -0.40059855334868966, 1.1030029629456997] [-0.00023778870580275747, -0.00103912013701415, -5.7742860062041934e-05, -0.9999994301756551] 3263502000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514822826716639, -0.40059855334868966, 1.1030029629456997] [-0.00023778870580275747, -0.00103912013701415, -5.7742860062041934e-05, -0.9999994301756551] 3263512000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514783414891719, -0.4005974406028201, 1.103000083133816] [-0.0002373382205644703, -0.001038321634286396, -5.763208418564647e-05, -0.9999994311184861] 3263522000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45147656946449355, -0.4005969385076451, 1.1029987893735491] [-0.00023713612219894545, -0.0010379629561339196, -5.758213711837268e-05, -0.9999994315416678] 3263532000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45147656946449355, -0.4005969385076451, 1.1029987893735491] [-0.00023713612219894545, -0.0010379629561339196, -5.758213711837268e-05, -0.9999994315416678] 3263542000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45147440493641894, -0.4005963237055543, 1.1029972099193754] [-0.00023688963454933894, -0.001037525118892404, -5.752101047813013e-05, -0.9999994320579696] 3263552000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45147440493641894, -0.4005963237055543, 1.1029972099193754] [-0.00023688963454933894, -0.001037525118892404, -5.752101047813013e-05, -0.9999994320579696] 3263562000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514724384119683, -0.4005957637265286, 1.1029957757724311] [-0.00023666605095391276, -0.0010371276073161816, -5.746536509049216e-05, -0.9999994325264585] 3263572000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514724384119683, -0.4005957637265286, 1.1029957757724311] [-0.00023666605095391276, -0.0010371276073161816, -5.746536509049216e-05, -0.9999994325264585] 3263582000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45147027659207933, -0.4005951465871734, 1.1029942000946895] [-0.00023642065086102425, -0.001036690906263923, -5.740407358795219e-05, -0.9999994330408459] 3263592000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45147027659207933, -0.4005951465871734, 1.1029942000946895] [-0.00023642065086102425, -0.001036690906263923, -5.740407358795219e-05, -0.9999994330408459] 3263602000000
