[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911888520523324, -0.40126021371992115, 1.1136492928329815] [0.002688644781331768, -0.005498045184686849, -2.7767701866018152e-05, -0.999981270783279] 4922200000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911888520523324, -0.40126021371992115, 1.1136492928329815] [0.002688644781331768, -0.005498045184686849, -2.7767701866018152e-05, -0.999981270783279] 4922208000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4491197316751289, -0.4012609084784643, 1.1136492655172945] [0.0026887191202680794, -0.005498051825790768, -2.7801368805374302e-05, -0.9999812705459522] 4922218000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4491197316751289, -0.4012609084784643, 1.1136492655172945] [0.0026887191202680794, -0.005498051825790768, -2.7801368805374302e-05, -0.9999812705459522] 4922228000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4491197316751289, -0.4012609084784643, 1.1136492655172945] [0.0026887191202680794, -0.005498051825790768, -2.7801368805374302e-05, -0.9999812705459522] 4922238000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4491197316751289, -0.4012609084784643, 1.1136492655172945] [0.0026887191202680794, -0.005498051825790768, -2.7801368805374302e-05, -0.9999812705459522] 4922248000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4491197316751289, -0.4012609084784643, 1.1136492655172945] [0.0026887191202680794, -0.005498051825790768, -2.7801368805374302e-05, -0.9999812705459522] 4922258000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4491197316751289, -0.4012609084784643, 1.1136492655172945] [0.0026887191202680794, -0.005498051825790768, -2.7801368805374302e-05, -0.9999812705459522] 4922268000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912185113540204, -0.40126263410657415, 1.113649197369033] [0.002688903921274243, -0.005498073271516727, -2.7894269335897864e-05, -0.9999812699285486] 4922278000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912185113540204, -0.40126263410657415, 1.113649197369033] [0.002688903921274243, -0.005498073271516727, -2.7894269335897864e-05, -0.9999812699285486] 4922288000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912185113540204, -0.40126263410657415, 1.113649197369033] [0.002688903921274243, -0.005498073271516727, -2.7894269335897864e-05, -0.9999812699285486] 4922298000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912185113540204, -0.40126263410657415, 1.113649197369033] [0.002688903921274243, -0.005498073271516727, -2.7894269335897864e-05, -0.9999812699285486] 4922308000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912185113540204, -0.40126263410657415, 1.113649197369033] [0.002688903921274243, -0.005498073271516727, -2.7894269335897864e-05, -0.9999812699285486] 4922318000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912448279358663, -0.4012647496932614, 1.113649115447613] [0.0026891309670727137, -0.0054981040837364685, -2.802905201371511e-05, -0.9999812691448271] 4922330000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912448279358663, -0.4012647496932614, 1.113649115447613] [0.0026891309670727137, -0.0054981040837364685, -2.802905201371511e-05, -0.9999812691448271] 4922338000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912448279358663, -0.4012647496932614, 1.113649115447613] [0.0026891309670727137, -0.0054981040837364685, -2.802905201371511e-05, -0.9999812691448271] 4922348000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912448279358663, -0.4012647496932614, 1.113649115447613] [0.0026891309670727137, -0.0054981040837364685, -2.802905201371511e-05, -0.9999812691448271] 4922358000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912448279358663, -0.4012647496932614, 1.113649115447613] [0.0026891309670727137, -0.0054981040837364685, -2.802905201371511e-05, -0.9999812691448271] 4922368000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912668479257656, -0.4012665095199907, 1.1136490493196705] [0.002689319902098813, -0.0054981276486458595, -2.8150297475980704e-05, -0.9999812685037575] 4922378000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922390000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922398000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922408000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922418000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922428000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922438000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922448000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44912752923381644, -0.4012671842216147, 1.113649024335744] [0.0026893923118747535, -0.0054981356767723946, -2.8197169544573464e-05, -0.9999812682635576] 4922458000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44913005326536837, -0.40126920335579475, 1.1136489502397173] [0.0026896089805433757, -0.005498157020242616, -2.83361419763338e-05, -0.9999812675595358] 4922468000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44913005326536837, -0.40126920335579475, 1.1136489502397173] [0.0026896089805433757, -0.005498157020242616, -2.83361419763338e-05, -0.9999812675595358] 4922478000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44913005326536837, -0.40126920335579475, 1.1136489502397173] [0.0026896089805433757, -0.005498157020242616, -2.83361419763338e-05, -0.9999812675595358] 4922488000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44913005326536837, -0.40126920335579475, 1.1136489502397173] [0.0026896089805433757, -0.005498157020242616, -2.83361419763338e-05, -0.9999812675595358] 4922498000000
