[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959983881797616, -0.39921816799295146, 1.1198524807304742] [0.0016711807783448408, -0.0065406497313863395, 0.000510713417614328, -0.9999770828512538] 4534374000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959983881797616, -0.39921816799295146, 1.1198524807304742] [0.0016711807783448408, -0.0065406497313863395, 0.000510713417614328, -0.9999770828512538] 4534384000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496018003815039, -0.39921881159997835, 1.119839351423331] [0.0016710215905317207, -0.006538333365149051, 0.0005105296553333874, -0.9999770983593181] 4534394000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496018003815039, -0.39921881159997835, 1.119839351423331] [0.0016710215905317207, -0.006538333365149051, 0.0005105296553333874, -0.9999770983593181] 4534404000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496018003815039, -0.39921881159997835, 1.119839351423331] [0.0016710215905317207, -0.006538333365149051, 0.0005105296553333874, -0.9999770983593181] 4534414000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496018003815039, -0.39921881159997835, 1.119839351423331] [0.0016710215905317207, -0.006538333365149051, 0.0005105296553333874, -0.9999770983593181] 4534424000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44960380578438847, -0.3992194844528923, 1.1198256284718195] [0.0016708468178078, -0.006535877358601527, 0.0005103391526248419, -0.9999771148041411] 4534438000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44960380578438847, -0.3992194844528923, 1.1198256284718195] [0.0016708468178078, -0.006535877358601527, 0.0005103391526248419, -0.9999771148041411] 4534446000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44960380578438847, -0.3992194844528923, 1.1198256284718195] [0.0016708468178078, -0.006535877358601527, 0.0005103391526248419, -0.9999771148041411] 4534454000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44960380578438847, -0.3992194844528923, 1.1198256284718195] [0.0016708468178078, -0.006535877358601527, 0.0005103391526248419, -0.9999771148041411] 4534464000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44960380578438847, -0.3992194844528923, 1.1198256284718195] [0.0016708468178078, -0.006535877358601527, 0.0005103391526248419, -0.9999771148041411] 4534474000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496056765025464, -0.39922010977653627, 1.1198126173638498] [0.0016706742937706725, -0.006533516226888901, 0.0005101457919350003, -0.9999771306206896] 4534484000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496056765025464, -0.39922010977653627, 1.1198126173638498] [0.0016706742937706725, -0.006533516226888901, 0.0005101457919350003, -0.9999771306206896] 4534494000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496056765025464, -0.39922010977653627, 1.1198126173638498] [0.0016706742937706725, -0.006533516226888901, 0.0005101457919350003, -0.9999771306206896] 4534504000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4496056765025464, -0.39922010977653627, 1.1198126173638498] [0.0016706742937706725, -0.006533516226888901, 0.0005101457919350003, -0.9999771306206896] 4534514000000
