[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523632714967787, -0.3997871976019351, 1.104431246884423] [-0.00026507602345260324, -0.0015156549703184221, -0.00025068478410118084, -0.9999987848401877] 3131682000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523632714967787, -0.3997871976019351, 1.104431246884423] [-0.00026507602345260324, -0.0015156549703184221, -0.00025068478410118084, -0.9999987848401877] 3131692000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523601954338038, -0.3997918012829429, 1.1044213636779687] [-0.00026444882285047274, -0.001510470360698838, -0.0002520441698044065, -0.999998792509194] 3131702000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523601954338038, -0.3997918012829429, 1.1044213636779687] [-0.00026444882285047274, -0.001510470360698838, -0.0002520441698044065, -0.999998792509194] 3131712000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523601954338038, -0.3997918012829429, 1.1044213636779687] [-0.00026444882285047274, -0.001510470360698838, -0.0002520441698044065, -0.999998792509194] 3131722000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523601954338038, -0.3997918012829429, 1.1044213636779687] [-0.00026444882285047274, -0.001510470360698838, -0.0002520441698044065, -0.999998792509194] 3131732000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45235403694926657, -0.39980097994870856, 1.1044014626501963] [-0.0002633354494387675, -0.0015003650066965594, -0.0002545615463241113, -0.9999988073781423] 3131742000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45235403694926657, -0.39980097994870856, 1.1044014626501963] [-0.0002633354494387675, -0.0015003650066965594, -0.0002545615463241113, -0.9999988073781423] 3131752000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45235403694926657, -0.39980097994870856, 1.1044014626501963] [-0.0002633354494387675, -0.0015003650066965594, -0.0002545615463241113, -0.9999988073781423] 3131764000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45235403694926657, -0.39980097994870856, 1.1044014626501963] [-0.0002633354494387675, -0.0015003650066965594, -0.0002545615463241113, -0.9999988073781423] 3131772000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45234771897365744, -0.3998104188959093, 1.1043803881683314] [-0.0002623404394956457, -0.0014901232064956714, -0.0002571056370875083, -0.999998822302814] 3131782000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45234771897365744, -0.3998104188959093, 1.1043803881683314] [-0.0002623404394956457, -0.0014901232064956714, -0.0002571056370875083, -0.999998822302814] 3131792000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45234771897365744, -0.3998104188959093, 1.1043803881683314] [-0.0002623404394956457, -0.0014901232064956714, -0.0002571056370875083, -0.999998822302814] 3131802000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45234475289899256, -0.3998148618155881, 1.1043702938231] [-0.0002619188837188626, -0.0014853750662663409, -0.000258268746998018, -0.9999988291776473] 3131812000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45234475289899256, -0.3998148618155881, 1.1043702938231] [-0.0002619188837188626, -0.0014853750662663409, -0.000258268746998018, -0.9999988291776473] 3131822000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523405712859736, -0.39982111730856806, 1.1043561029611164] [-0.00026137644074510866, -0.0014788633198696442, -0.0002597518291960199, -0.9999988385866376] 3131832000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523405712859736, -0.39982111730856806, 1.1043561029611164] [-0.00026137644074510866, -0.0014788633198696442, -0.0002597518291960199, -0.9999988385866376] 3131842000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523405712859736, -0.39982111730856806, 1.1043561029611164] [-0.00026137644074510866, -0.0014788633198696442, -0.0002597518291960199, -0.9999988385866376] 3131852000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523373253746037, -0.3998259929792341, 1.1043449081844] [-0.00026098384869132875, -0.0014738556719795575, -0.0002608757357924138, -0.9999988457897034] 3131862000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523373253746037, -0.3998259929792341, 1.1043449081844] [-0.00026098384869132875, -0.0014738556719795575, -0.0002608757357924138, -0.9999988457897034] 3131872000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523343495900403, -0.39983046079649015, 1.1043346993595249] [-0.00026064839173452626, -0.0014693843356986217, -0.0002617993388937534, -0.9999988522159392] 3131882000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523343495900403, -0.39983046079649015, 1.1043346993595249] [-0.00026064839173452626, -0.0014693843356986217, -0.0002617993388937534, -0.9999988522159392] 3131892000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523314927537591, -0.3998348031569107, 1.1043244624216006] [-0.0002603293610700441, -0.00146498887009031, -0.0002628103010600402, -0.9999988584828386] 3131902000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523314927537591, -0.3998348031569107, 1.1043244624216006] [-0.0002603293610700441, -0.00146498887009031, -0.0002628103010600402, -0.9999988584828386] 3131912000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523314927537591, -0.3998348031569107, 1.1043244624216006] [-0.0002603293610700441, -0.00146498887009031, -0.0002628103010600402, -0.9999988584828386] 3131922000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523314927537591, -0.3998348031569107, 1.1043244624216006] [-0.0002603293610700441, -0.00146498887009031, -0.0002628103010600402, -0.9999988584828386] 3131932000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523314927537591, -0.3998348031569107, 1.1043244624216006] [-0.0002603293610700441, -0.00146498887009031, -0.0002628103010600402, -0.9999988584828386] 3131942000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523314927537591, -0.3998348031569107, 1.1043244624216006] [-0.0002603293610700441, -0.00146498887009031, -0.0002628103010600402, -0.9999988584828386] 3131954000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523225137145883, -0.39984847874568236, 1.1042925712301643] [-0.0002594188459920892, -0.0014518261010598467, -0.00026538511510974805, -0.9999988772361573] 3131962000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523225137145883, -0.39984847874568236, 1.1042925712301643] [-0.0002594188459920892, -0.0014518261010598467, -0.00026538511510974805, -0.9999988772361573] 3131972000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523225137145883, -0.39984847874568236, 1.1042925712301643] [-0.0002594188459920892, -0.0014518261010598467, -0.00026538511510974805, -0.9999988772361573] 3131982000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523225137145883, -0.39984847874568236, 1.1042925712301643] [-0.0002594188459920892, -0.0014518261010598467, -0.00026538511510974805, -0.9999988772361573] 3131992000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523225137145883, -0.39984847874568236, 1.1042925712301643] [-0.0002594188459920892, -0.0014518261010598467, -0.00026538511510974805, -0.9999988772361573] 3132002000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523166279897997, -0.3998576045319843, 1.1042708554131522] [-0.0002588358839146478, -0.0014432886722363523, -0.0002670452395035286, -0.9999988893037002] 3132012000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.452313759044932, -0.39986205394346297, 1.1042604890258263] [-0.0002585593135772606, -0.0014393254781177314, -0.0002676640484611248, -0.999998894921993] 3132022000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.452313759044932, -0.39986205394346297, 1.1042604890258263] [-0.0002585593135772606, -0.0014393254781177314, -0.0002676640484611248, -0.999998894921993] 3132032000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45231101077327174, -0.3998663863907018, 1.1042501088872603] [-0.00025828173177617055, -0.001435426165174803, -0.00026837035299723255, -0.9999989004092082] 3132042000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45231101077327174, -0.3998663863907018, 1.1042501088872603] [-0.00025828173177617055, -0.001435426165174803, -0.00026837035299723255, -0.9999989004092082] 3132052000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523081385818475, -0.3998708810131069, 1.1042397167578524] [-0.0002579988508342197, -0.0014315882409026346, -0.0002688694849152379, -0.9999989058498525] 3132062000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523081385818475, -0.3998708810131069, 1.1042397167578524] [-0.0002579988508342197, -0.0014315882409026346, -0.0002688694849152379, -0.9999989058498525] 3132072000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45230538952753574, -0.39987525907908783, 1.1042293147696716] [-0.00025770907165562074, -0.0014278120340848394, -0.00026947052093968804, -0.9999989111616407] 3132082000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45230538952753574, -0.39987525907908783, 1.1042293147696716] [-0.00025770907165562074, -0.0014278120340848394, -0.00026947052093968804, -0.9999989111616407] 3132092000000
