[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485878948501164, -0.39861729425548026, 1.1092409851741487] [-0.00019142149550312393, -0.0037251592940727076, 0.00014386044006430704, -0.9999930329008395] 3060128000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485878948501164, -0.39861729425548026, 1.1092409851741487] [-0.00019142149550312393, -0.0037251592940727076, 0.00014386044006430704, -0.9999930329008395] 3060136000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485878948501164, -0.39861729425548026, 1.1092409851741487] [-0.00019142149550312393, -0.0037251592940727076, 0.00014386044006430704, -0.9999930329008395] 3060146000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859091668091877, -0.3986211715455906, 1.1092178087803315] [-0.00019149947227144542, -0.003715836375849266, 0.0001433308372627909, -0.9999930676480967] 3060158000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859091668091877, -0.3986211715455906, 1.1092178087803315] [-0.00019149947227144542, -0.003715836375849266, 0.0001433308372627909, -0.9999930676480967] 3060166000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859091668091877, -0.3986211715455906, 1.1092178087803315] [-0.00019149947227144542, -0.003715836375849266, 0.0001433308372627909, -0.9999930676480967] 3060176000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859091668091877, -0.3986211715455906, 1.1092178087803315] [-0.00019149947227144542, -0.003715836375849266, 0.0001433308372627909, -0.9999930676480967] 3060186000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859091668091877, -0.3986211715455906, 1.1092178087803315] [-0.00019149947227144542, -0.003715836375849266, 0.0001433308372627909, -0.9999930676480967] 3060196000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859277786806895, -0.3986237557508953, 1.1092029220662611] [-0.0001915475322196941, -0.0037098460072100383, 0.00014309028815272934, -0.9999930899147831] 3060206000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859383062666125, -0.39862490566930825, 1.1091954985100032] [-0.00019156915159791713, -0.003706860264337789, 0.0001428028341763643, -0.9999931010239977] 3060216000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859383062666125, -0.39862490566930825, 1.1091954985100032] [-0.00019156915159791713, -0.003706860264337789, 0.0001428028341763643, -0.9999931010239977] 3060226000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485948508571022, -0.3986263181186117, 1.1091873475818166] [-0.00019159569727629283, -0.0037035799495971403, 0.0001426798911672439, -0.9999931131908328] 3060236000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485948508571022, -0.3986263181186117, 1.1091873475818166] [-0.00019159569727629283, -0.0037035799495971403, 0.0001426798911672439, -0.9999931131908328] 3060246000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485957747616257, -0.3986276029889291, 1.1091799508619002] [-0.00019161861245123025, -0.0037006015793443056, 0.00014257146978906288, -0.9999931242281793] 3060256000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485957747616257, -0.3986276029889291, 1.1091799508619002] [-0.00019161861245123025, -0.0037006015793443056, 0.00014257146978906288, -0.9999931242281793] 3060266000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859669831948196, -0.39862888623294696, 1.1091725669481498] [-0.00019164077703278558, -0.00369762911671033, 0.00014245351781611015, -0.999993135236299] 3060276000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44859669831948196, -0.39862888623294696, 1.1091725669481498] [-0.00019164077703278558, -0.00369762911671033, 0.00014245351781611015, -0.999993135236299] 3060286000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.448597622789932, -0.3986301655864921, 1.1091651960474624] [-0.00019166164886127418, -0.0036946630347512704, 0.00014232429226936766, -0.9999931462138472] 3060296000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.448597622789932, -0.3986301655864921, 1.1091651960474624] [-0.00019166164886127418, -0.0036946630347512704, 0.00014232429226936766, -0.9999931462138472] 3060306000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485986674895945, -0.39863130466319147, 1.1091578382033271] [-0.00019168253647491724, -0.003691702251951127, 0.00014204692449137218, -0.9999931571840677] 3060316000000
